Step	Training Loss
456	2.118400
457	2.061000
458	2.071900
459	1.978800
460	1.972500
461	2.134000
462	1.911600
463	2.118100
464	2.125700
465	2.198300
466	1.967300
467	1.976300
468	2.007500
469	2.172200
470	2.155400
471	2.167500
472	1.826000
473	2.061300
474	2.182700
475	2.034800
476	2.193100
477	1.970200
478	1.983600
479	2.166600
480	2.031500
481	2.187100
482	2.216200
483	2.005200
484	2.054400
485	2.084200
486	2.048000
487	1.906200
488	2.053900
489	1.838000
490	2.056300
491	1.946900
492	2.109200
493	2.098200
494	1.918700
495	2.113800
496	1.932600
497	2.002900
498	2.070000
499	1.999800
500	2.151000
501	1.938600
502	2.075500
503	1.999000
504	2.068800
505	1.932900
506	1.956800
507	2.233800
508	1.848800
509	2.061000
510	1.978100
511	2.090700
512	2.129700
513	1.927800
514	2.236800
515	2.139800
516	2.143900
517	2.003000
518	2.147500
519	2.198700
520	2.009700
521	1.994000
522	2.229700
523	2.116200
524	2.039700
525	2.000100
526	2.221800
527	2.063800
528	2.246200
529	2.103400
530	1.918600
531	2.087400
532	2.138400
533	2.049700
534	2.068200
535	2.102100
536	2.054500
537	2.174600
538	2.161200
539	2.003400
540	2.100800
541	1.996500
542	2.190200
543	2.125700
544	2.135300
545	2.142100
546	2.126800
547	2.175000
548	2.052500
549	2.131700
550	2.159200
551	2.215800
552	2.161800
553	1.903400
554	2.075600
555	2.175200
556	2.089800
557	1.953900
558	2.053400
559	1.936300
560	2.127200
561	1.981900
562	1.980600
563	2.058000
564	2.053000
565	2.053600
566	2.007900
567	2.018900
568	2.340400
569	2.077400
570	1.896400
571	1.890300
572	2.113900
573	2.189800
574	2.215100
575	2.095900
576	1.923000
577	2.005400
578	2.077300
579	2.067500
580	2.158500
581	2.017000
582	1.897600
583	2.082200
584	2.144300
585	2.026000
586	2.181700
587	2.148700
588	2.029700
589	2.092100
590	1.999800
591	2.095400
592	2.014500
593	2.023500
594	1.993300
595	1.949300
596	2.030700
597	1.930400
598	1.909900
599	2.127700
600	2.093700
601	2.079200
602	2.065700
603	1.956500
604	1.998700
605	2.061900
606	2.025900
607	2.025100
608	2.087200
609	1.971200
610	1.983300
611	2.195700
612	2.040500
613	1.918600
614	2.033700
615	2.056600
616	2.181500
617	2.109000
618	1.951600
619	2.045800
620	2.209600
621	2.123100
622	1.906800
623	2.020300
624	1.962600
625	2.001900
626	2.017200
627	2.014700
628	2.001000
629	2.009300
630	2.021300
631	1.943100
632	1.964600
633	1.967100
634	2.119200
635	1.956500
636	2.100500
637	2.080100
638	1.986900
639	2.075900
640	1.992800
641	2.052800
642	2.209400
643	2.052300
644	2.204400
645	1.990800
646	2.096200
647	2.070000
648	2.078100
649	2.026000
650	2.019900
651	2.177500
652	1.833300
653	2.159000
654	1.999900
655	2.051100
656	2.068500
657	2.078000
658	1.925700
659	2.147700
660	2.063800
661	2.043300
662	2.038600
663	2.058700
664	2.046300
665	2.096200
666	2.044900
667	2.114800
668	2.033200
669	2.054900
670	1.851400
671	2.058400
672	2.066600
673	2.103300
674	1.996900
675	2.190000
676	2.047400
677	2.083500
678	1.927900
679	2.190400
680	2.239200
681	2.115000
682	2.178400
683	2.002200
