Step	Training Loss
456	2.260600
457	2.208600
458	2.204300
459	2.128000
460	2.112400
461	2.272500
462	2.051200
463	2.254900
464	2.271000
465	2.317900
466	2.104900
467	2.129300
468	2.155400
469	2.307300
470	2.299100
471	2.321900
472	1.983400
473	2.217000
474	2.324400
475	2.201700
476	2.342400
477	2.103600
478	2.129600
479	2.311000
480	2.199600
481	2.334300
482	2.343600
483	2.139100
484	2.201700
485	2.231600
486	2.201500
487	2.069200
488	2.203300
489	1.981700
490	2.204200
491	2.096600
492	2.252500
493	2.245600
494	2.050500
495	2.242100
496	2.068300
497	2.138500
498	2.209300
499	2.126100
500	2.293000
501	2.078500
502	2.216500
503	2.153000
504	2.216300
505	2.085600
506	2.112500
507	2.364600
508	1.947600
509	2.214100
510	2.121000
511	2.241300
512	2.265600
513	2.085000
514	2.385700
515	2.279300
516	2.290900
517	2.142100
518	2.277100
519	2.343900
520	2.154700
521	2.125300
522	2.350500
523	2.280100
524	2.168400
525	2.114100
526	2.350300
527	2.230700
528	2.373900
529	2.249000
530	2.071200
531	2.250000
532	2.254000
533	2.190800
534	2.214600
535	2.251500
536	2.197800
537	2.313800
538	2.318100
539	2.145200
540	2.243800
541	2.133300
542	2.307900
543	2.281300
544	2.274200
545	2.276800
546	2.289600
547	2.309500
548	2.173400
549	2.282400
550	2.288100
551	2.354600
552	2.304900
553	2.042000
554	2.197800
555	2.306800
556	2.216100
557	2.101700
558	2.186000
559	2.102600
560	2.281800
561	2.129700
562	2.129700
563	2.182300
564	2.197300
565	2.197200
566	2.177700
567	2.162400
568	2.469800
569	2.207900
570	2.049000
571	2.041700
572	2.276100
573	2.325700
574	2.357500
575	2.236800
576	2.085300
577	2.160200
578	2.227000
579	2.210100
580	2.315800
581	2.158400
582	2.041700
583	2.231200
584	2.260000
585	2.157500
586	2.328800
587	2.293000
588	2.180800
589	2.247100
590	2.134400
591	2.229800
592	2.153100
593	2.185100
594	2.131000
595	2.069400
596	2.181300
597	2.065100
598	2.039800
599	2.274800
600	2.243600
601	2.226900
602	2.229200
603	2.109200
604	2.144200
605	2.203600
606	2.188700
607	2.173700
608	2.240000
609	2.120600
610	2.138300
611	2.347400
612	2.194600
613	2.038300
614	2.167800
615	2.193000
616	2.313400
617	2.232900
618	2.101200
619	2.188400
620	2.360400
621	2.261700
622	2.051500
623	2.146800
624	2.112000
625	2.145300
626	2.168400
627	2.166300
628	2.151300
629	2.174900
630	2.175900
631	2.101900
632	2.138300
633	2.117200
634	2.280000
635	2.119500
636	2.225000
637	2.225000
