 [3200/4689 1:09:31 < 32:22, 0.77 it/s, Epoch 2.05/3]
Step	Training Loss
451	2.326500
452	2.230100
453	2.238600
454	2.237900
455	2.157900
456	2.253900
457	2.187400
458	2.191200
459	2.108500
460	2.110100
461	2.251200
462	2.042300
463	2.236100
464	2.266900
465	2.314000
466	2.114400
467	2.116700
468	2.143600
469	2.294200
470	2.292500
471	2.298000
472	1.974100
473	2.201800
474	2.313300
475	2.181700
476	2.315000
477	2.091800
478	2.117800
479	2.285200
480	2.172600
481	2.309900
482	2.339400
483	2.131200
484	2.186300
485	2.212300
486	2.172000
487	2.059100
488	2.187600
489	1.983700
490	2.203100
491	2.080600
492	2.227600
493	2.226900
494	2.042100
495	2.230200
496	2.062100
497	2.125700
498	2.192000
499	2.112500
500	2.277400
501	2.082900
502	2.197300
503	2.131000
504	2.199000
505	2.069600
506	2.101900
507	2.350200
508	1.953600
509	2.190100
510	2.105400
511	2.213600
512	2.257700
513	2.071800
514	2.363200
515	2.263800
516	2.255400
517	2.123700
518	2.271900
519	2.319800
520	2.143500
521	2.112100
522	2.344300
523	2.241100
524	2.160800
525	2.108700
526	2.335400
527	2.201000
528	2.350300
529	2.229000
530	2.052100
531	2.226000
532	2.247600
533	2.170500
534	2.192100
535	2.232700
536	2.179300
537	2.295200
538	2.287000
539	2.130900
540	2.229700
541	2.124200
542	2.296000
543	2.264000
544	2.248600
545	2.262600
546	2.263200
547	2.294900
548	2.162600
549	2.265700
550	2.272300
551	2.327500
552	2.278600
553	2.027000
554	2.182600
555	2.280200
556	2.200600
557	2.082100
558	2.172000
559	2.097100
560	2.266500
561	2.119200
562	2.104300
563	2.177000
564	2.180500
565	2.177900
566	2.135400
567	2.140800
568	2.449000
569	2.192100
570	2.029400
571	2.016300
572	2.245300
573	2.314100
574	2.323600
575	2.213500
576	2.056100
577	2.138300
578	2.208800
579	2.180300
580	2.282100
581	2.137100
582	2.024300
583	2.202000
584	2.246000
585	2.143700
586	2.309900
587	2.262600
588	2.151300
589	2.209900
590	2.108300
591	2.202900
592	2.130400
593	2.150200
594	2.118100
595	2.052100
596	2.154000
597	2.048800
598	2.034100
599	2.239100
600	2.219500
601	2.208800
602	2.193000
603	2.079700
604	2.127000
605	2.173200
606	2.149700
607	2.151800
608	2.201000
609	2.080200
610	2.104400
611	2.311800
612	2.159600
613	2.023500
614	2.142100
615	2.184500
616	2.276700
617	2.203500
618	2.080500
619	2.161600
620	2.323800
621	2.232200
622	2.028400
623	2.126300
624	2.089500
625	2.126800
626	2.149100
627	2.132800
628	2.120000
629	2.123800
630	2.135500
631	2.065600
632	2.094700
633	2.088700
634	2.239100
635	2.086700
636	2.211000
637	2.188500
638	2.096600
639	2.192900
640	2.121600
641	2.165900
642	2.312900
643	2.159800
644	2.298300
645	2.120300
646	2.205200
647	2.171000
648	2.188400
649	2.131800
650	2.141000
651	2.274500
652	1.940600
653	2.269700
654	2.109100
655	2.141100
656	2.177900
657	2.181600
658	2.041900
659	2.238100
660	2.168300
661	2.142200
662	2.142800
663	2.159400
664	2.149200
665	2.201200
666	2.150800
667	2.197000
668	2.131800
669	2.145200
670	1.970300
671	2.164700
672	2.162500
673	2.197400
674	2.094400
675	2.287100
676	2.149400
677	2.181700
678	2.046000
679	2.276000
680	2.318600
681	2.202700
682	2.261800
683	2.099500
684	2.199600
685	2.013200
686	2.067500
687	2.081600
688	2.214700
689	2.133200
690	2.260500
691	2.199500
692	2.184500
693	2.223500
694	2.162300
695	2.033000
696	2.008900
697	2.138000
698	2.177500
699	2.109000
700	2.159200
701	2.073400
702	2.109000
703	2.263800
704	2.185300
705	2.256100
706	2.062900
707	2.220100
708	1.981100
709	2.223500
710	2.023500
711	2.074100
712	2.095900
713	2.158900
714	2.058200
715	2.171500
716	2.276900
717	2.029400
718	2.024000
719	2.153900
720	2.004600
721	2.163000
722	2.114000
723	2.076700
724	2.128600
725	1.960900
726	2.090200
727	2.331800
728	2.129300
729	1.981100
730	2.121300
731	2.202300
732	2.216900
733	2.024300
734	2.241800
735	1.954900
736	2.204700
737	2.163600
738	2.105400
739	2.093400
740	2.012000
741	2.142700
742	2.173700
743	2.165800
744	2.150900
745	2.076500
746	2.060000
747	2.305200
748	2.308900
749	2.082300
750	2.093400
751	2.164900
752	2.103900
753	2.076300
754	2.019400
755	2.221500
756	2.034100
757	2.003100
758	2.167400
759	2.143000
760	2.107600
761	2.234100
762	2.029100
763	2.127300
764	2.197900
765	2.143100
766	1.999800
767	2.006000
768	2.134000
769	2.147700
770	2.018000
771	2.037600
772	1.947100
773	1.969700
774	2.109300
775	2.005900
776	2.067400
777	2.164400
778	2.049500
779	2.016000
780	2.155100
781	2.102000
782	2.196800
783	2.072200
784	2.188500
785	1.987300
786	2.081000
787	2.073800
788	2.120200
789	2.226400
790	2.178500
791	2.110300
792	2.169400
793	2.190000
794	2.185300
795	2.086700
796	1.950700
797	2.136300
798	2.040200
799	2.074900
800	2.081900
801	2.184600
802	1.856900
803	2.184400
804	2.096300
805	2.137000
806	2.052900
807	2.179400
808	2.060500
809	2.074000
810	2.158700
811	2.127200
812	2.058100
813	2.211300
814	2.114100
815	2.186700
816	2.156700
817	1.984800
818	2.166600
819	2.051100
820	2.125200
821	2.047200
822	2.005700
823	2.186000
824	2.244900
825	2.177700
826	2.346900
827	2.058100
828	2.108400
829	1.884100
830	2.094300
831	2.084200
832	2.143500
833	2.098900
834	2.075700
835	2.148600
836	2.251100
837	2.051200
838	2.040000
839	2.083700
840	2.004500
841	1.993400
842	2.154600
843	2.065900
844	2.118500
845	2.042700
846	2.114000
847	2.126000
848	1.941400
849	1.911900
850	2.072300
851	2.018300
852	2.090600
853	2.160500
854	2.294300
855	2.261500
856	2.015400
857	2.057800
858	2.099700
859	2.205300
860	2.007400
861	1.964600
862	2.225700
863	2.260200
864	2.088200
865	2.173600
866	2.168800
867	1.924400
868	2.148500
869	2.293700
870	1.971000
871	1.994700
872	2.107800
873	1.964700
874	2.123700
875	2.082200
876	2.022800
877	2.188600
878	2.141300
879	1.988100
880	2.236200
881	2.159000
882	2.024200
883	2.160800
884	2.083300
885	2.067700
886	2.004500
887	1.988000
888	2.120900
889	2.026200
890	1.984900
891	2.143600
892	2.169600
893	2.171500
894	2.059800
895	2.133800
896	1.719500
897	2.206400
898	2.069900
899	2.077800
900	1.898000
901	2.069100
902	2.204500
903	2.074400
904	2.157100
905	2.199700
906	2.140300
907	1.893800
908	1.963700
909	2.030300
910	2.152400
911	2.194700
912	1.931800
913	2.029300
914	2.151500
915	2.125800
916	2.097800
917	1.955400
918	2.215900
919	1.978600
920	1.934400
921	1.934100
922	2.169500
923	1.971800
924	2.011700
925	2.100200
926	2.087500
927	1.967600
928	2.183700
929	2.270100
930	2.240100
931	2.048800
932	2.102900
933	2.197200
934	2.066000
935	2.152700
936	2.208200
937	2.012000
938	1.982900
939	2.137100
940	2.214400
941	2.178500
942	2.159000
943	2.009200
944	2.195800
945	2.117700
946	2.163100
947	2.306900
948	2.111000
949	2.099800
950	1.894600
951	1.961400
952	2.198100
953	2.070200
954	1.964900
955	1.975700
956	2.044000
957	2.176700
958	2.034500
959	2.157500
960	2.143600
961	2.143400
962	1.985800
963	2.244900
964	1.962000
965	2.079900
966	2.044700
967	2.065500
968	2.251700
969	2.023200
970	1.885200
971	1.992700
972	2.038200
973	2.160200
974	2.197800
975	2.177500
976	2.219100
977	2.177700
978	2.050900
979	1.974600
980	2.021900
981	2.124800
982	2.098400
983	2.008900
984	2.129900
985	2.108600
986	2.111100
