 [2536/4689 54:20 < 46:10, 0.78 it/s, Epoch 1.62/3]
Step	Training Loss
451	2.310800
452	2.189100
453	2.209200
454	2.211900
455	2.131800
456	2.221100
457	2.177300
458	2.170700
459	2.094100
460	2.074600
461	2.240500
462	2.015100
463	2.222100
464	2.237300
465	2.281800
466	2.065700
467	2.088300
468	2.118900
469	2.272600
470	2.263000
471	2.275900
472	1.944300
473	2.176800
474	2.276400
475	2.159100
476	2.306500
477	2.068700
478	2.091400
479	2.279300
480	2.155500
481	2.307500
482	2.301600
483	2.100700
484	2.164100
485	2.195200
486	2.162200
487	2.030400
488	2.164700
489	1.944300
490	2.163900
491	2.065100
492	2.223800
493	2.211200
494	2.007900
495	2.206200
496	2.030100
497	2.102500
498	2.175700
499	2.094900
500	2.254700
501	2.044600
502	2.186500
503	2.121500
504	2.176200
505	2.053300
506	2.082100
507	2.333300
508	1.911100
509	2.185100
510	2.089700
511	2.206800
512	2.225200
513	2.040500
514	2.347300
515	2.241400
516	2.268200
517	2.110800
518	2.237600
519	2.311200
520	2.124000
521	2.090000
522	2.313500
523	2.251600
524	2.132800
525	2.076300
526	2.316700
527	2.197800
528	2.345100
529	2.211700
530	2.031500
531	2.211300
532	2.223900
533	2.154400
534	2.182300
535	2.206500
536	2.163700
537	2.273100
538	2.279200
539	2.106400
540	2.211600
541	2.093400
542	2.279800
543	2.232800
544	2.247100
545	2.234800
546	2.251300
547	2.275800
548	2.145400
549	2.242900
550	2.256000
551	2.317300
552	2.274600
553	2.009600
554	2.161400
555	2.277600
556	2.184900
557	2.066900
558	2.156100
559	2.047300
560	2.237300
561	2.091300
562	2.101300
563	2.152200
564	2.159100
565	2.154000
566	2.141400
567	2.120300
568	2.433400
569	2.176800
570	2.013600
571	2.014100
572	2.241700
573	2.291900
574	2.324100
575	2.201600
576	2.051200
577	2.125700
578	2.189900
579	2.183200
580	2.283600
581	2.124900
582	2.003700
583	2.201400
584	2.228600
585	2.129100
586	2.292800
587	2.266000
588	2.151700
589	2.218000
590	2.104300
591	2.193100
592	2.118000
593	2.151500
594	2.095000
595	2.038900
596	2.147400
597	2.030600
598	1.996000
599	2.240100
600	2.205800
601	2.186300
602	2.198500
603	2.077200
604	2.101200
605	2.173800
606	2.146800
607	2.140500
608	2.214300
609	2.094300
610	2.105400
611	2.318300
612	2.161300
613	2.011100
